game_index,source_index,played_at_utc,game_date,game_time_utc,timezone_offset,has_end_time,player,player_color,player_elo,elo_change,opponent,opponent_elo,opponent_is_bot,site,event,time_control,result,player_result,player_score,termination
89,88,2026-02-25 14:17:23,2026-02-25,14:17:23,+0000,true,SoloPistol,Black,392,8,messaoud1990,393,false,Chess.com,Live Chess,600,0-1,win,1.0,SoloPistol won - game abandoned
90,89,2026-02-25 14:33:29,2026-02-25,14:33:29,+0000,true,SoloPistol,White,400,8,krs2026,388,false,Chess.com,Live Chess,600,1-0,win,1.0,SoloPistol won on time
91,90,2026-02-25 14:49:01,2026-02-25,14:49:01,+0000,true,SoloPistol,Black,407,7,MariusTheGreat0526,371,false,Chess.com,Live Chess,600,0-1,win,1.0,SoloPistol won by resignation
92,91,2026-02-25 18:02:17,2026-02-25,18:02:17,+0000,true,SoloPistol,White,399,-8,cb0790,407,false,Chess.com,Live Chess,600,0-1,loss,0.0,cb0790 won by checkmate
93,92,2026-02-25 18:17:44,2026-02-25,18:17:44,+0000,true,SoloPistol,White,399,0,vadaodroga,416,false,Chess.com,Live Chess,600,1/2-1/2,draw,0.5,Game drawn by stalemate
94,93,2026-02-25 18:36:01,2026-02-25,18:36:01,+0000,true,SoloPistol,Black,407,8,rajanlive,279,false,Chess.com,Live Chess,600,0-1,win,1.0,SoloPistol won on time
95,95,2026-02-26 13:18:10,2026-02-26,13:18:10,+0000,true,SoloPistol,White,415,8,DineshTamizh,379,false,Chess.com,Live Chess,600,1-0,win,1.0,SoloPistol won on time
96,96,2026-02-26 15:05:59,2026-02-26,15:05:59,+0000,true,SoloPistol,Black,408,-7,bulathjgv,445,false,Chess.com,Live Chess,600,1-0,loss,0.0,bulathjgv won by checkmate
97,97,2026-02-26 15:57:10,2026-02-26,15:57:10,+0000,true,SoloPistol,Black,400,-8,AGShafer,429,false,Chess.com,Live Chess,600,1-0,loss,0.0,AGShafer won by resignation
98,98,2026-02-26 22:20:20,2026-02-26,22:20:20,+0000,true,SoloPistol,White,392,-8,Dexter_Wayne,409,false,Chess.com,Live Chess,600,0-1,loss,0.0,Dexter_Wayne won by checkmate
99,99,2026-02-27 20:36:25,2026-02-27,20:36:25,+0000,true,SoloPistol,White,400,8,Woaheee,371,false,Chess.com,Live Chess,600,1-0,win,1.0,SoloPistol won by checkmate
100,100,2026-02-27 21:21:47,2026-02-27,21:21:47,+0000,true,SoloPistol,Black,408,8,Albooon,412,false,Chess.com,Live Chess,600,0-1,win,1.0,SoloPistol won by resignation
101,101,2026-02-27 21:30:46,2026-02-27,21:30:46,+0000,true,SoloPistol,White,400,-8,dofd0,405,false,Chess.com,Live Chess,600,0-1,loss,0.0,dofd0 won by resignation
102,102,2026-02-28 14:26:06,2026-02-28,14:26:06,+0000,true,SoloPistol,Black,408,8,5SAKARYALI4,392,false,Chess.com,Live Chess,600,0-1,win,1.0,SoloPistol won on time
103,103,2026-03-11 18:04:11,2026-03-11,18:04:11,+0000,true,SoloPistol,Black,416,8,juliok22,404,false,Chess.com,Live Chess,900+10,0-1,win,1.0,SoloPistol won by checkmate
104,104,2026-03-11 19:13:03,2026-03-11,19:13:03,+0000,true,SoloPistol,White,408,-8,alephmetatron,439,false,Chess.com,Live Chess,900+10,0-1,loss,0.0,alephmetatron won by resignation
105,105,2026-03-13 17:00:49,2026-03-13,17:00:49,+0000,true,SoloPistol,Black,416,8,Fissamec,408,false,Chess.com,Live Chess,600,0-1,win,1.0,SoloPistol won - game abandoned
106,106,2026-03-13 17:28:36,2026-03-13,17:28:36,+0000,true,SoloPistol,White,424,8,Abhijeetnegi123,368,false,Chess.com,Live Chess,600,1-0,win,1.0,SoloPistol won by checkmate
107,107,2026-03-15 10:50:23,2026-03-15,10:50:23,+0000,true,SoloPistol,White,416,-8,Kikii025,443,false,Chess.com,Live Chess,600,0-1,loss,0.0,Kikii025 won by resignation
108,108,2026-03-15 11:11:10,2026-03-15,11:11:10,+0000,true,SoloPistol,Black,408,-8,EPSBrasil,421,false,Chess.com,Live Chess,600,1-0,loss,0.0,EPSBrasil won by checkmate
109,109,2026-03-15 13:21:19,2026-03-15,13:21:19,+0000,true,SoloPistol,White,416,8,dewwata,408,false,Chess.com,Live Chess,600,1-0,win,1.0,SoloPistol won by checkmate
110,110,2026-03-15 13:27:04,2026-03-15,13:27:04,+0000,true,SoloPistol,Black,424,8,varun_agarwal123,429,false,Chess.com,Live Chess,600,0-1,win,1.0,SoloPistol won by resignation
111,111,2026-03-15 14:19:39,2026-03-15,14:19:39,+0000,true,SoloPistol,Black,432,8,iddavo,430,false,Chess.com,Live Chess,600,0-1,win,1.0,SoloPistol won by checkmate
112,112,2026-03-15 15:08:42,2026-03-15,15:08:42,+0000,true,SoloPistol,White,424,-8,Murat_Syzdukov,445,false,Chess.com,Live Chess,600,0-1,loss,0.0,Murat_Syzdukov won by resignation
113,113,2026-03-15 15:14:23,2026-03-15,15:14:23,+0000,true,SoloPistol,White,415,-9,WaShInGtOnGi33,410,false,Chess.com,Live Chess,600,0-1,loss,0.0,WaShInGtOnGi33 won by resignation
114,114,2026-03-15 15:21:34,2026-03-15,15:21:34,+0000,true,SoloPistol,Black,423,8,ajaykeerthi,422,false,Chess.com,Live Chess,600,0-1,win,1.0,SoloPistol won by checkmate
115,115,2026-03-15 15:51:21,2026-03-15,15:51:21,+0000,true,SoloPistol,Black,431,8,sharkman73,404,false,Chess.com,Live Chess,600,0-1,win,1.0,SoloPistol won by resignation
116,116,2026-03-15 15:57:02,2026-03-15,15:57:02,+0000,true,SoloPistol,White,423,-8,Alexandratsiri,458,false,Chess.com,Live Chess,600,0-1,loss,0.0,Alexandratsiri won by resignation
117,117,2026-03-15 19:08:19,2026-03-15,19:08:19,+0000,true,SoloPistol,Black,415,-8,TastefulStreetRat,438,false,Chess.com,Live Chess,600,1-0,loss,0.0,TastefulStreetRat won by resignation
118,118,2026-03-15 19:20:27,2026-03-15,19:20:27,+0000,true,SoloPistol,Black,407,-8,AzizEfeKndr,433,false,Chess.com,Live Chess,600,1-0,loss,0.0,AzizEfeKndr won by resignation
119,119,2026-03-15 21:10:22,2026-03-15,21:10:22,+0000,true,SoloPistol,White,415,8,Ironmike3982,401,false,Chess.com,Live Chess,600,1-0,win,1.0,SoloPistol won by checkmate
